scope,case,baseline,optimized,unit,improvement_pct
microkernel,bf16_k3072_m1024_n1,0.009824,0.008992,ms,8.47
microkernel,bf16_k3072_m6144_n1,0.224352,0.167104,ms,25.52
microkernel,bf16_k3072_m9216_n1,0.344096,0.246656,ms,28.32
microkernel,bf16_k3072_m12288_n1,0.457760,0.328912,ms,28.15
microkernel,bf16_k3072_m100352_n1,3.670736,2.665872,ms,27.38
kernel,nvfp4_raw_gate_down_unpack,0.271788,0.263408,ms,3.08
kernel,grouped_nvfp4_activation_staging,2.057154,1.867166,ms,9.24
profile,raw_bf16_projection_per_token,44.883,33.574,ms,25.20
profile,raw_native_moe_per_token,13.641,13.369,ms,1.99
profile,real_model_grouped_nvfp4_per_sparse_layer,19.640674,15.639043,ms,20.37
profile,raw_steady_generation_nsys,15.31,18.58,tok/s,21.36
end_to_end,raw_prefill,723.70,801.19,tok/s,10.71
end_to_end,raw_generation,15.09,18.61,tok/s,23.33
end_to_end,raw_steady_generation,15.16,18.71,tok/s,23.42
end_to_end,dflash_generation,34.86,36.82,tok/s,5.62
end_to_end,dflash_steady_generation,35.14,37.05,tok/s,5.44
pipeline,dflash_verifier_cycle,175.530,161.220,ms,8.15
